Timestamp,Date 1,Date 2,Date 3
7-23-2020 13:26:32,,,
7-23-2020 13:27:17,14-Apr-09,,23072020
7-23-2020 13:27:48,05-Jan-00,,
7-23-2020 13:57:14,04-11-2017,,
7-23-2020 13:57:46,09-07-2018,,
7-23-2020 17:51:03,23-07-2020,23-07-2020,"July 23, 2020"
7-23-2020 17:51:45,23-07-2020,23-07-1920,"July 23, 2020"
7-23-2020 17:53:30,23th july 2020,07/23/2020,23-07-1920
7-23-2020 17:54:14,23-07-2020,23-07-1920,"23rd july,2020"
7-23-2020 17:54:19,23-Jul-20,23-07-2020,07-23-2020
7-23-2020 17:55:03,23-07-2020,23-Jul-20,July 23 1920
7-23-2020 17:55:32,,,
7-23-2020 17:56:02,20200723,23-07-2020,23rd day of the month of July of the year 2020
7-23-2020 17:56:25,19-Nov-70,Nov 19 1970,20201119
7-23-2020 17:56:46,,,
7-23-2020 17:57:31,19901022,22-Oct-90,Oct 22 1990
7-23-2020 17:58:21,,,
7-23-2020 17:59:00,20121212,12-Dec-12,Dec 12 1912
7-23-2020 17:59:29,,,
7-23-2020 17:59:53,02-Jan-71,19-Mar-30,09-Aug-42
7-23-2020 18:00:10,18800911,11 September 1880,Sep 11 1880
7-23-2020 18:00:26,,,
7-23-2020 18:01:13,04-Jan-97,05-Feb-98,06-May-74
7-23-2020 18:02:18,20200721,20010726,19990529
7-23-2020 18:02:29,06-Jul-69,13-May-87,03-Apr-95
7-23-2020 18:05:00,20050927,20190131,
7-23-2020 18:12:23,20160509,20221212,2010098
7-23-2020 18:12:46,02-09-1999,02-Sep-99,23-Jul-20
7-23-2020 18:13:25,,23/26/1998,20-Dec
7-23-2020 18:14:09,,20th January ,March 20th
7-23-2020 18:14:44,Mar 28 2019,,
